both
ID          Name         Time         Max_wind     Min_pressure Landfall     distance    
AL011851    UNNAMED      3d0h         80.0         -999.0       1            356.56697139856897
AL021851    UNNAMED      NA             80          -999        0            0           
AL031851    UNNAMED      NA             50          -999        0            0           
AL041851    UNNAMED      11d18h       100.0        -999.0       1            4254.185160265979
AL051851    UNNAMED      3d18h        50.0         -999.0       0            0.0         
AL061851    UNNAMED      3d18h        60.0         -999.0       0            826.106743768722
AL011852    UNNAMED      11d0h        100.0        -999.0       1            2577.1589883467254
AL021852    UNNAMED      1d18h        70.0         -999.0       0            444.7949605205099
AL031852    UNNAMED      4d18h        70.0         -999.0       1            924.4105877777027
AL041852    UNNAMED      8d18h        80.0         -999.0       0            1736.733096946614
AL051852    UNNAMED      5d18h        90.0         -999.0       1            2212.71126925784
AL011853    UNNAMED      NA             50          -999        0            0           
AL021853    UNNAMED      NA             40          -999        0            0           
AL031853    UNNAMED      11d18h       130.0        -999.0       0            5059.153150955684
AL041853    UNNAMED      2d18h        100.0        -999.0       0            1186.6437297156572
AL051853    UNNAMED      NA             50          -999        0            0           
AL061853    UNNAMED      5d6h         70.0         -999.0       0            1062.824241609092
AL071853    UNNAMED      NA             50          -999        0            0           
AL081853    UNNAMED      3d6h         90.0         -999.0       0            349.28046579244744
AL011854    UNNAMED      2d12h        70.0         -999.0       1            497.62088174414566
AL021854    UNNAMED      NA             60          -999        0            0           
AL031854    UNNAMED      5d18h        110.0        -999.0       1            2002.6412260267673
AL041854    UNNAMED      2d6h         90.0         -999.0       1            208.55881997162456
AL051854    UNNAMED      2d18h        60.0         -999.0       0            678.2848733617942
AL011855    UNNAMED      NA             90          -999        0            0           
AL021855    UNNAMED      1d6h         90.0         -999.0       0            709.2908029662751
AL031855    UNNAMED      NA             70          -999        0            0           
AL041855    UNNAMED      3d18h        60.0         -999.0       0            1077.1917292955795
AL051855    UNNAMED      2d6h         110.0        -999.0       1            324.98737137995846
AL011856    UNNAMED      3d6h         130.0        -999.0       1            581.3331958607923
AL021856    UNNAMED      1d18h        70.0         -999.0       0            493.75952168067454
AL031856    UNNAMED      2d12h        50.0         -999.0       0            674.6299426732947
AL041856    UNNAMED      NA             50          -999        0            0           
AL051856    UNNAMED      9d18h        100.0        -999.0       1            2906.8524740797625
